Product,Name,Rating,Comment Heading, Comments
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LHB-HN358W Gaming Laptop Reviews,Flipkart Customer,5,Wonderful,Absolutely worth for money  Laptop performance is beast 🔥🔥Buttery smooth in online games like valorant  fortnite.60+ FPS in triple A gamesLike Spiderman remastered  gta V  batman arkham knight and many moreNice design.  go for it
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LHB-HN358W Gaming Laptop Reviews,Arnab  Samanta,4,Delightful,My first openion is super laptop. And most effective is specialy RGB light . OR smooth display   it's a best budget gaming laptop.
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LHB-HN358W Gaming Laptop Reviews,ABDUL HAMID,4,Really Nice,I got it for 46990 during bbd....body and design is superb....but i am dis satisfied with the display ..i have a msi laptop...100% brightness on TUF is comaprable to 50% brightness with my MSI GL63-8RC.and it needs improvement in the speakers synchronization...MSI speaker are much louder and better than ASUS Tuf...apart from this its good under 52k..above that go for MSI
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LHB-HN358W Gaming Laptop Reviews,Aryan Bora,5,Great product,It's a 4.5 out of 5 Pros - 144Hz is smooth for gaming - GTX 1650 Does the work with excellence and you can run games like Valorant  Warzone etc and applications such as After Effects - 8 GB Ram is enough but you can consider upgrading to 16 GB later - The design is really good and even the option to control RGB lights is pretty nice - You can easily do all the multi-tasking with this laptop - There are no lags during normal use or even gaming Cons - The battery life is average or ma...
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LHB-HN358W Gaming Laptop Reviews,Mayank Singh,4,Worth the money,A really good laptop for gaming and work purposes also works for studies and coding.. The performance is really awesome and unexpected but one one issue found.. display turns on and off while turning on laptop(after login) and even while putting on charge. Else its value for money good product.
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LHB-HN358W Gaming Laptop Reviews,Flipkart Customer,5,Must buy!,Best laptop for vedio editing it supports adobe premiere pro and after effects and even all the apps available in adobe creative clouds
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LHB-HN358W Gaming Laptop Reviews,Aaryan R,5,Must buy!,After using it nearly nearly 2 week #Pros: good for campaign and entry level of gaming. 5/5*Works smooth until now didn't faced any lag   flickering issue. 5/5*Sound quality is decent.4/5*RGB work perfectly fine you can aslo customise it. 5/5 *Design and look is also good. 4.5/5#cons: Battery life is about 1-1.5 hrs   So search other laptops if you want battery backup of more than 2-3 hours. 3/5It's bulky *Heating issue is also caught while playing valo.1 valo game will heat the whol...
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LHB-HN358W Gaming Laptop Reviews,Flipkart Customer,4,Good quality product,Built quality was awesome. Good delivery service. Powerful specs   doesn't compromise on the performance. Design wise it's satisfactory. Battery is not lasting as expected. If you are a travelling person this won't be a good option. Heating is also an issue. But its perfect for home use. Best in this range. Always carry the adaptor wherever you go. I bought it for my studies  programming  browsing  and casual gaming. It serves all my needs excellently.I can only find a negative impression on ...
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LHB-HN358W Gaming Laptop Reviews,Sai Kumar Sai,5,Perfect product!,I bought it for reasonable price and the laptop was pretty good after 1 month of full usage i will give full review of the laptop
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LHB-HN358W Gaming Laptop Reviews,yokesh,5,Worth every penny,Performance is ultimate 👏 Booting time is under 10 sec 👍 Design and build quality is awesome 👌 Gaming Performance is fabulous 👌 Overall value for money 💰 If your budget is under 50k you can blindly go for this there is no other laptop which can beat this at this price range...
